name,alt,number,img_url
フシギダネ,フシギダネ,item001,https://zukan.pokemon.co.jp/zukan-api/up/images/index/afa02eaba4c39820fc57f4e8abaeea80.png
フシギソウ,フシギソウ,item002,https://zukan.pokemon.co.jp/zukan-api/up/images/index/f78edf4c2bc037f4b23529edfcf9ddce.png
フシギバナ,フシギバナ,item003,https://zukan.pokemon.co.jp/zukan-api/up/images/index/cdce516974ae6a74e1b8b855644c5ce5.png
メガフシギバナ,メガフシギバナ,item003-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/5109c8badb2ef84e08a429e3f2535663.png
フシギバナ（キョダイマックスのすがた）,フシギバナ,item003-2,https://zukan.pokemon.co.jp/zukan-api/up/images/index/e0a15d7ddd7acb7c2d02c01ae8240b60.png
ヒトカゲ,ヒトカゲ,item004,https://zukan.pokemon.co.jp/zukan-api/up/images/index/8c45cf85becf84af9de3df62bb84a767.png
リザード,リザード,item005,https://zukan.pokemon.co.jp/zukan-api/up/images/index/12012cd4efde1bff9b2692b403bd878b.png
リザードン,リザードン,item006,https://zukan.pokemon.co.jp/zukan-api/up/images/index/a686ec5e5f6b1d9731f20626a778a0bc.png
メガリザードンＸ,メガリザードンＸ,item006-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/3e972438b54d530e82f4d63c6e4cb5bf.png
メガリザードンＹ,メガリザードンＹ,item006-2,https://zukan.pokemon.co.jp/zukan-api/up/images/index/8356e6ff40700340223ea28b7b910987.png
リザードン（キョダイマックスのすがた）,リザードン,item006-3,https://zukan.pokemon.co.jp/zukan-api/up/images/index/697b801f8449411e018575ab43bc5f46.png
ゼニガメ,ゼニガメ,item007,https://zukan.pokemon.co.jp/zukan-api/up/images/index/f1a0d49b1c09f66333fcb4ec28f9ea16.png
カメール,カメール,item008,https://zukan.pokemon.co.jp/zukan-api/up/images/index/96a5203e00d4ba7197f5d438d9cdea0b.png
カメックス,カメックス,item009,https://zukan.pokemon.co.jp/zukan-api/up/images/index/bf747ef914143880c46016105ca155da.png
メガカメックス,メガカメックス,item009-1,https://zukan.pokemon.co.jp/zukan-api/up/images/index/1a01bf3e79832906ed08b3ac5ab7a22a.png
カメックス（キョダイマックスのすがた）,カメックス,item009-2,https://zukan.pokemon.co.jp/zukan-api/up/images/index/60fd087ddbdb6016221496154595fab8.png
